Nome: Carlos |  Gênero: Masculino | Estrangeiro: Sim

Nome: Maria |  Gênero: Feminino | Estrangeiro: Não

Nome: Kase |  Gênero: Outro | Estrangeiro: Sim

Nome: kikaks |  Gênero: Masculino | Estrangeiro: Não

Nome: Nattan |  Gênero: Masculino | Estrangeiro: Não

Nome: asda |  Gênero: Masculino | Estrangeiro: Não

Nome: asda |  Gênero: Masculino | Estrangeiro: Não

Nome: asda |  Gênero: Masculino | Estrangeiro: Não

Nome: asda |  Gênero: Masculino | Estrangeiro: Não

Nome: a |  Gênero: Masculino | Estrangeiro: Não

Nome: 4 |  Gênero: Masculino | Estrangeiro: Não
